SchemaName,TableName,SourceNotNULLCount,TargetNotNULLCount
BrokerContractDM,tblAgentBridge,2,2
BrokerContractDM,tblBrokerBillingInformationDim,1,1
BrokerContractDM,tblBrokerContactBridge,2,2
BrokerContractDM,tblBrokerContractContactDim,20,20
BrokerContractDM,tblBrokerContractJunkDim,1,1
BrokerContractDM,tblBrokerContractOriginationTransactionalFact,30,30
BrokerContractDM,tblBrokerContractProgramDim,3,3
BrokerContractDM,tblBrokerContractStatusDim,4,4
BrokerContractDM,tblBrokerDim,4,4
BrokerContractDM,tblBrokerFirmDim,2,2
BrokerContractDM,tblCustomerBridge,2,2
BrokerContractDM,tblCustomerContactBridge,2,2
BrokerContractDM,tblOfficeBridge,2,2
BrokerContractDM,tblOrderBridge,2,2
Ctrl,tblOPRBID,0,0
Ctrl,tblOPRBOP,0,0
Ctrl,tblSendEmail,1,1
Ctrl,tblSendEmailDetail,1,1
Ctrl,tblTop100BOP,0,0
CustomerDM,tblCustomerDailyPeriodicSnapshotFact,16,16
CustomerDM,tblLeadContactDim,3,2
CustomerDM,tblLeadInquiryDim,3,2
CustomerDM,tblLeadReferralAgg_0,3,3
CustomerDM,tblLeadReferralTypeDim,3,3
CustomerDM,tblLeadTransactionalFact,35,34
CustomerDM,tblListingDailyPeriodicSnapshotFact,26,26
dbo,ActiveListingsConstructionFlag,1,1
dbo,ActiveListingsForRawStatus,1,1
dbo,All_Properties,0,0
dbo,AOL_LDP_Listing,0,0
dbo,budget,0,0
dbo,cassidyDependenceObject,1,1
dbo,cassidyReferencingObject,2,2
dbo,CassidyReportToTableView,0,0
dbo,FA_RUP_METRIC_DAY,5,5
dbo,FinalAgntList,0,0
dbo,LeadDailyPeriodicSnapshot_INV,6,6
dbo,Leapfrog_tblagentdim,32,31
dbo,Leapfrog_tblBrokerDim,32,31
dbo,Leapfrog_tblCustomerDim,36,35
dbo,Leapfrog_tblOfficeDim,28,27
dbo,Leapfrog_tblsiebelAccountDim,1,1
dbo,Leapfrog_tblsiebelContractDim,2,2
dbo,MSAList,0,0
dbo,MSA_Validation,0,0
dbo,ORCACoBrokeListings,2,2
dbo,RealtorListDetail,2,2
dbo,RealtorListDetail_PreviousDay,2,2
dbo,RealtorLists,5,5
dbo,RealtorLists_PreviousDay,5,5
dbo,SiebelAccIDlistForPricing,0,0
dbo,sysdiagrams,3,3
dbo,tblBrokerContractParticipatingOfficesFact_BckUp_DoNotDelete,7,6
dbo,tblBrokerSiebelIDData,0,0
dbo,tblCDHOfficeBrokerSourceData,0,0
dbo,TblCLCShowcaseNextGen,2,2
dbo,tblCurrentAgentDim,32,31
dbo,tblCurrentAgentDim_New,32,31
dbo,tblCurrentAgentDim_PreviousDay,32,31
dbo,tblCurrentOfficeDim,28,27
dbo,tblCustomerListingTypeMLCDetailFact,0,0
dbo,tblCustomerListingTypeMLCFact,0,0
dbo,tblDistinctListingDimKeyMonthly,1,1
dbo,tblDistinctListingDimKeyweekly,1,1
dbo,tblEDWThresholdControl,2,2
dbo,tblGeoNeighborhoodsUpdateProcessRunLog,2,2
dbo,tblLeadClassificationDim,4,4
dbo,TBLLegacyMobiledataLoadCheck,1,1
dbo,tblMonthlyLDPByZipAndExp,0,0
dbo,tblMonthlyMobileSRPForREMAXOffices,0,0
dbo,tblMonthlyShowcaseCLCByZip,0,0
dbo,tblMoveDMFileUsage,4,4
dbo,tblNeighborhoodsUpdateProcessRunLog,1,1
dbo,tblNeighbourhoodStage,0,0
dbo,tblPageActivityForTurboImpressions_Reload,14,14
dbo,tblPageActivityWorkTablePhase1,0,0
dbo,tblPropertyGeoData,1,1
dbo,tblPropertyNeighborhood,0,0
dbo,tblResponsysSendGridDailyDelta,1,1
dbo,tblSanityMaxLoadDate,5,4
dbo,tblSanityRulesRunLog,2,2
