schemaname,tablename
BrokerContractDM,tblAgentBridge
BrokerContractDM,tblBrokerBillingInformationDim
BrokerContractDM,tblBrokerContactBridge
BrokerContractDM,tblBrokerContractContactDim
BrokerContractDM,tblBrokerContractJunkDim
BrokerContractDM,tblBrokerContractOriginationTransactionalFact
BrokerContractDM,tblBrokerContractProgramDim
BrokerContractDM,tblBrokerContractStatusDim
BrokerContractDM,tblBrokerDim
BrokerContractDM,tblBrokerFirmDim
BrokerContractDM,tblCustomerBridge
BrokerContractDM,tblCustomerContactBridge
BrokerContractDM,tblOfficeBridge
BrokerContractDM,tblOrderBridge
Ctrl,tblOPRBID
Ctrl,tblOPRBOP
Ctrl,tblSendEmail
Ctrl,tblSendEmailDetail
Ctrl,tblTop100BOP
CustomerDM,tblCustomerDailyPeriodicSnapshotFact
CustomerDM,tblLeadContactDim
CustomerDM,tblLeadInquiryDim
CustomerDM,tblLeadReferralAgg_0
CustomerDM,tblLeadReferralTypeDim
CustomerDM,tblLeadTransactionalFact
CustomerDM,tblListingDailyPeriodicSnapshotFact
dbo,ActiveListingsConstructionFlag
dbo,ActiveListingsForRawStatus
dbo,All_Properties
dbo,AOL_LDP_Listing
dbo,budget
dbo,cassidyDependenceObject
dbo,cassidyReferencingObject
dbo,CassidyReportToTableView
dbo,FA_RUP_METRIC_DAY
dbo,FinalAgntList
dbo,LeadDailyPeriodicSnapshot_INV
dbo,Leapfrog_tblagentdim
dbo,Leapfrog_tblBrokerDim
dbo,Leapfrog_tblCustomerDim
dbo,Leapfrog_tblOfficeDim
dbo,Leapfrog_tblsiebelAccountDim
dbo,Leapfrog_tblsiebelContractDim
dbo,MSAList
dbo,MSA_Validation
dbo,ORCACoBrokeListings
dbo,RealtorListDetail
dbo,RealtorListDetail_PreviousDay
dbo,RealtorLists
dbo,RealtorLists_PreviousDay
dbo,SiebelAccIDlistForPricing
dbo,sysdiagrams
dbo,tblBrokerContractParticipatingOfficesFact_BckUp_DoNotDelete
dbo,tblBrokerSiebelIDData
dbo,tblCDHOfficeBrokerSourceData
dbo,TblCLCShowcaseNextGen
dbo,tblCurrentAgentDim
dbo,tblCurrentAgentDim_New
dbo,tblCurrentAgentDim_PreviousDay
dbo,tblCurrentOfficeDim
dbo,tblCustomerListingTypeMLCDetailFact
dbo,tblCustomerListingTypeMLCFact
dbo,tblDistinctListingDimKeyMonthly
dbo,tblDistinctListingDimKeyweekly
dbo,tblEDWThresholdControl
dbo,tblGeoNeighborhoodsUpdateProcessRunLog
dbo,tblLeadClassificationDim
dbo,TBLLegacyMobiledataLoadCheck
dbo,tblMonthlyLDPByZipAndExp
dbo,tblMonthlyMobileSRPForREMAXOffices
dbo,tblMonthlyShowcaseCLCByZip
dbo,tblMoveDMFileUsage
dbo,tblNeighborhoodsUpdateProcessRunLog
dbo,tblNeighbourhoodStage
dbo,tblPageActivityForTurboImpressions_Reload
dbo,tblPageActivityWorkTablePhase1
dbo,tblPropertyGeoData
dbo,tblPropertyNeighborhood
dbo,tblResponsysSendGridDailyDelta
dbo,tblSanityMaxLoadDate
dbo,tblSanityRulesRunLog
dbo,tblShowcaseBrokers
dbo,tblShowcasePartyIDs
dbo,tblSiebelAccountDim_BCKSiebelData
dbo,tblSiebelContractDim_BCKSiebelData
dbo,tblWorkTablePhase1ForPageActivity
dbo,tmpnara2 
DELETED,tblBillingProductDim
dwg,Broker
dwg,BrokerMetrics
dwg,ContactReseller
dwg,LU_NC_USER
DynInv,tblCBOptOutLDPPVSnapshot
DynInv,tblCoBrokeLeadProjection
DynInv,tblCoBrokeOptedOutMLS
DynInv,tblConfigDetail
DynInv,tblConfigMaster
DynInv,tblExclusionDatesForInventory
DynInv,tblLeadDailyPeriodicSnapshot
DynInv,tblPageViewdailyPeriodicSnapshot
DynInv,tblPostalCodeCityClusterMapping
edw,tblAdvertiserTurboInfo
edw,tblAgentDim
edw,tblAgentDim_Legacy
edw,tblAgentListingCountFact
edw,tblAgentOfficeMetricsWeekly
edw,tblAgentPartyIDMonthlyLDP
edw,tblAPIRentalListingCountFact
edw,tblAppFiguresClassificationDim
edw,tblAppFiguresRankDaily
edw,tblAppFiguresRankHourly
edw,tblAppFiguresSales
edw,tblBIDCustomerEvents
edw,tblBIDCustomerEventsMonthly
edw,tblBobOwnerDim
edw,tblBOPContractDataSiebel
edw,tblBrandNetworks
edw,tblBrokerContractParticipatingOfficesFact
edw,tblBrokerContractParticipatingOfficesFact_WithNewLogic
edw,tblBrokerCustomerEvents
edw,tblBrokerDim
edw,tblBrokerPartyIDMonthlyLDP
edw,tblBudgetFact
edw,tblBudgetMeasureDim
edw,tblBuilderDim
edw,tblBusinessUnitDim
edw,tblCalendarEventDim
edw,tblCalendarEventDimExtension
