schemaname,tablename
BrokerContractDM,tblBrokerBillingInformationDim
BrokerContractDM,tblBrokerContractContactDim
BrokerContractDM,tblBrokerContractJunkDim
BrokerContractDM,tblBrokerContractOriginationTransactionalFact
BrokerContractDM,tblBrokerContractProgramDim
BrokerContractDM,tblBrokerContractStatusDim
BrokerContractDM,tblBrokerDim
BrokerContractDM,tblBrokerFirmDim
CustomerDM,tblLeadContactDim
CustomerDM,tblLeadInquiryDim
CustomerDM,tblLeadReferralTypeDim
DynInv,tblConfigMaster
EDW,tblAdvertiserTurboInfo
EDW,tblAgentDim
EDW,tblAgentDim_Legacy
EDW,tblAppFiguresClassificationDim
EDW,tblBobOwnerDim
EDW,tblBrokerContractParticipatingOfficesFact
EDW,tblBrokerContractParticipatingOfficesFact_WithNewLogic
EDW,tblBrokerDim
EDW,tblBudgetMeasureDim
EDW,tblBuilderDim
EDW,tblBusinessUnitDim
EDW,tblCalendarEventDim
EDW,tblCalendarEventDimExtension
EDW,tblCalendarEventResolutionStatusDim
EDW,tblCalendarEventRootCausesDim
EDW,tblCalendarEventTypeDim
EDW,tblCallResponseDim
EDW,tblCBSADim
EDW,tblChannelClassificationDim
EDW,tblChannelDim
EDW,tblChannelDim_FastLoad
EDW,tblCommunityDim
EDW,tblCommunityManagmentDim
EDW,tblConsumerDeviceDetailsDim
EDW,tblConsumerDeviceDetailsDim_FastLoad
EDW,tblCustomerAccountMapping
EDW,tblCustomerContactDim
EDW,tblCustomerDim
EDW,tblCustomerDim_Legacy
EDW,tblCustomerLeadTypeDim
EDW,tblCustomerMapDim
EDW,tblCustomerShowcaseChoiceDim
EDW,tblDapCityTierAdHoc
EDW,tblDapCityTierMonthlyFact
EDW,tblDapTierDim
EDW,tblDataSourceDim
EDW,tblDataSourceDim_Legacy
EDW,tblDomainDim
EDW,tblDomainDim_FastLoad
EDW,tblEventAttributesDim
EDW,tblEventClassDim
EDW,tblEventDetailCategoryDim
EDW,tblEventFamilyDim
EDW,tblEventSummaryCategoryDim
EDW,tblEventTypeCategoryBridge
EDW,tblEventTypeCategoryDim
EDW,tblEventTypeClassificationDim
