schemaname,tablename,WhereClause
edw,tblNewHomesSubdivisionDim,
edw,tblNewHomesSubdivisionDim,
BrokerContractDM,tblAgentBridge,
BrokerContractDM,tblBrokerBillingInformationDim,
BrokerContractDM,tblBrokerContactBridge,
BrokerContractDM,tblBrokerContractContactDim,
BrokerContractDM,tblBrokerContractJunkDim,
BrokerContractDM,tblBrokerContractOriginationTransactionalFact,
BrokerContractDM,tblBrokerContractProgramDim,
BrokerContractDM,tblBrokerContractStatusDim,
BrokerContractDM,tblBrokerDim,
BrokerContractDM,tblBrokerFirmDim,
BrokerContractDM,tblCustomerBridge,
BrokerContractDM,tblCustomerContactBridge,
BrokerContractDM,tblOfficeBridge,
BrokerContractDM,tblOrderBridge,
Ctrl,tblOPRBID,
Ctrl,tblOPRBOP,
Ctrl,tblSendEmail,
Ctrl,tblSendEmailDetail,
Ctrl,tblTop100BOP,
CustomerDM,tblCustomerDailyPeriodicSnapshotFact,
CustomerDM,tblLeadContactDim,
CustomerDM,tblLeadInquiryDim,
CustomerDM,tblLeadReferralAgg_0,
CustomerDM,tblLeadReferralTypeDim,
CustomerDM,tblLeadTransactionalFact,
CustomerDM,tblListingDailyPeriodicSnapshotFact,
dbo,ActiveListingsConstructionFlag,
dbo,ActiveListingsForRawStatus,
